FID,IZ05CD,IZ05NM
334,S02000191,Lower Nithsdale
335,S02000192,Lochmaben and Parkgate
336,S02000193,Crocketford and Carsphairn
337,S02000194,Lockerbie and Mid Annandale
338,S02000195,Langholm and Canonbie
339,S02000196,Mid Nithsdale
340,S02000197,Moffat and Eskdalemuir
341,S02000198,Upper Nithsdale
342,S02000199,Perth Road
343,S02000200,Westend
344,S02000372,Carrick Knowe
345,S02000373,Gorgie West
346,S02000374,Marchmont East and Sciennes
347,S02000375,Polwarth
348,S02000376,Bruntsfield
349,S02000377,Gorgie East
350,S02000378,"Bingham, Magdalene and the Christians"
351,S02000379,Meadows
352,S02000380,Balgreen and Roseburn
353,S02000381,Dalry and Fountainbridge
354,S02000382,Willowbrae and Duddingston Village
355,S02000383,Corstorphine
356,S02000384,Duddingston
357,S02000385,Tollcross
358,S02000386,Joppa
359,S02000387,Southside and Canongate
360,S02000388,East Craigs
361,S02000389,"Dean, West End and West Coates"
362,S02000390,Murrayfield and Ravelston
363,S02000391,Kirkliston
364,S02000392,Northfield
365,S02000393,Old Town and Leith Street
366,S02000394,Clerwood and Corstorphine (Hillview)
367,S02000395,Mountcastle
368,S02000396,Portobello
369,S02000397,Blackhall
370,S02000398,New Town West
371,S02000399,Bughtlin and Parkgrove
372,S02000400,Clermiston
373,S02000273,Kilmardinny East
374,S02000274,Rosebank and Waterside
375,S02000275,Kirkintilloch South
376,S02000276,North Castlehill and Thorn
377,S02000277,Hillhead
378,S02000278,Torrance and Balmore
379,S02000279,Keystone and Dougalston
380,S02000280,Harestanes
381,S02000281,Kirkintilloch West
382,S02000282,Barloch
383,S02000283,Twechar and Harestanes East
384,S02000284,East Clober and Mains Estate
385,S02000285,West Clober and Mains Estate
386,S02000286,Milton of Campsie
387,S02000287,Lennoxtown
388,S02000288,IZ One
389,S02000289,IZ Two
390,S02000290,IZ Three
391,S02000291,IZ Four
392,S02000292,IZ Five
393,S02000293,IZ Six
394,S02000294,IZ Seven
395,S02000295,IZ Eight
396,S02000296,IZ Nine
397,S02000297,IZ Ten
398,S02000298,IZ Eleven
399,S02000299,IZ Twelve
400,S02000300,IZ Thirteen
401,S02000751,Ross and Cromarty South West
402,S02000752,Dingwall
403,S02000753,Black Isle North
404,S02000754,Ross and Cromarty Central
405,S02000755,Alness
406,S02000756,Invergordon
